onibus,linha,distancia,tempo
AA006,822,38.18495167258379,9207.0
AA005,222,56.84319310834965,11253.0
AA007,827,120.6817772849293,68584.0
AA007,812,74.396874692477,13085.0
AA006,812,109.27283481433712,62834.0
AA005,812,49.213008868890356,46276.0
